Security Command Center compliance report
Snapshot date,"Friday, July 17, 2026"
Assessed resource,gringo-vpc
Assessed organization ID,873985808727

Assessed compliance standard,PCI DSS 4.0
Assessed cloud provider,Google Cloud
Controls with detected violations,26
Controls without detected violations,24
Supported controls,50
Total findings,169

Control,Finding category,Status,Rule,Severity,Findings,Resources scanned
"3.5.1.3",KMS_KEY_NOT_ROTATED,Compliant,"Encryption keys should be rotated within a period of 90 days",Medium,0,3
"4.1.1",COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,Non-compliant,"SSH keys should not be used project-wide",Medium,5,6
"4.2.1",COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,Non-compliant,"SSH keys should not be used project-wide",Medium,5,6
"4.2.1.2",COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,Non-compliant,"SSH keys should not be used project-wide",Medium,5,6
"4.2.2",COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,Non-compliant,"SSH keys should not be used project-wide",Medium,5,6
"5.3.4",LOAD_BALANCER_LOGGING_DISABLED,Non-compliant,"Enable logging for the load balancer backend service.",Medium,1,43
"5.3.4",AUDIT_CONFIG_NOT_MONITORED,Non-compliant,"Metric filter and alerts should exist for Audit Configuration Changes",Low,1,1
"5.3.4",BUCKET_IAM_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Cloud Storage IAM permission changes",Low,1,1
"5.3.4",CUSTOM_ROLE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Custom Role changes",Low,1,1
"5.3.4",FIREWALL_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC Network Firewall rule changes",Low,1,1
"5.3.4",NETWORK_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network changes",Low,1,1
"5.3.4",OWNER_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Project Ownership assignments/changes",Low,1,1
"5.3.4",ROUTE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network route changes",Low,1,1
"5.3.4",SQL_INSTANCE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for SQL instance configuration changes",Low,1,1
"5.3.4",LOG_NOT_EXPORTED,Compliant,"Sinks should be configured for all Log entries",Low,0,1
"6.2.1",API_KEY_APIS_UNRESTRICTED,Non-compliant,"Projects should restrict the APIs that can be called by each API key",Medium,1,1
"6.2.1",API_KEY_EXISTS,Non-compliant,"API Keys are insecure and should not be used",Medium,1,1
"6.2.1",API_KEY_NOT_ROTATED,Non-compliant,"API keys should be rotated every 90 days",Medium,1,1
"6.4.1",LOAD_BALANCER_LOGGING_DISABLED,Non-compliant,"Enable logging for the load balancer backend service.",Medium,1,43
"6.4.1",AUDIT_CONFIG_NOT_MONITORED,Non-compliant,"Metric filter and alerts should exist for Audit Configuration Changes",Low,1,1
"6.4.1",BUCKET_IAM_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Cloud Storage IAM permission changes",Low,1,1
"6.4.1",CUSTOM_ROLE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Custom Role changes",Low,1,1
"6.4.1",FIREWALL_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC Network Firewall rule changes",Low,1,1
"6.4.1",NETWORK_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network changes",Low,1,1
"6.4.1",OWNER_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Project Ownership assignments/changes",Low,1,1
"6.4.1",ROUTE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network route changes",Low,1,1
"6.4.1",SQL_INSTANCE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for SQL instance configuration changes",Low,1,1
"6.4.1",COMPUTE_SERIAL_PORTS_ENABLED,Compliant,"Interactive serial console support should be disabled",Medium,0,6
"6.4.1",SQL_REMOTE_ACCESS_ENABLED,Compliant,"The remote access database flag for a Cloud SQL SQL Server instance should be set to off",Medium,0,33
"6.4.1",LOG_NOT_EXPORTED,Compliant,"Sinks should be configured for all Log entries",Low,0,1
"6.4.2",LOAD_BALANCER_LOGGING_DISABLED,Non-compliant,"Enable logging for the load balancer backend service.",Medium,1,43
"6.4.2",AUDIT_CONFIG_NOT_MONITORED,Non-compliant,"Metric filter and alerts should exist for Audit Configuration Changes",Low,1,1
"6.4.2",BUCKET_IAM_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Cloud Storage IAM permission changes",Low,1,1
"6.4.2",CUSTOM_ROLE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Custom Role changes",Low,1,1
"6.4.2",FIREWALL_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC Network Firewall rule changes",Low,1,1
"6.4.2",NETWORK_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network changes",Low,1,1
"6.4.2",OWNER_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Project Ownership assignments/changes",Low,1,1
"6.4.2",ROUTE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network route changes",Low,1,1
"6.4.2",SQL_INSTANCE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for SQL instance configuration changes",Low,1,1
"6.4.2",LOG_NOT_EXPORTED,Compliant,"Sinks should be configured for all Log entries",Low,0,1
"6.4.3",SQL_EXTERNAL_SCRIPTS_ENABLED,Compliant,"The ""external scripts enabled"" database flag for a Cloud SQL Server instance should be set to off",Medium,0,33
"8.3.2",COMPUTE_PROJECT_WIDE_SSH_KEYS_ALLOWED,Non-compliant,"SSH keys should not be used project-wide",Medium,5,6
"8.3.2",ALLOYDB_CMEK_DISABLED,Compliant,"Encrypt your AlloyDB cluster by using a customer-managed encryption key (CMEK).",Medium,0,-
"8.3.2",BIGQUERY_TABLE_CMEK_DISABLED,Compliant,"BigQuery tables should have a customer-managed encryption key (CMEK) set",Medium,0,-
"8.3.2",CONFIDENTIAL_COMPUTING_DISABLED,Compliant,"Confidential Computing should be enabled",Medium,0,6
"8.3.2",DATAPROC_CMEK_DISABLED,Compliant,"Dataproc clusters should have a customer-managed encryption key (CMEK) set",Medium,0,-
"8.3.2",DATASET_CMEK_DISABLED,Compliant,"Datasets should have a default customer-managed encryption key (CMEK) set",Medium,0,-
"8.3.2",DISK_CSEK_DISABLED,Compliant,"Disks should be encrypted with customer-supplied encryption keys",Medium,0,12
"8.3.2",KMS_KEY_NOT_ROTATED,Compliant,"Encryption keys should be rotated within a period of 90 days",Medium,0,3
"9.4.5",SQL_LOG_DISCONNECTIONS_DISABLED,Non-compliant,"The log_disconnections database flag for a Cloud SQL Postgres instance should be set to on.",Medium,33,33
"9.4.5",SQL_LOG_CONNECTIONS_DISABLED,Non-compliant,"The log_connections database flag for a Cloud SQL Postgres instance should be set to on.",Medium,31,33
"9.4.5",SQL_LOG_STATEMENT,Non-compliant,"The log_statement database flag for a Cloud SQL Postgres instance should be set to ddl.",Low,33,33
"9.4.5",ALLOYDB_LOG_ERROR_VERBOSITY,Compliant,"The log_error_verbosity database flag for an AlloyDB instance should be set to default or another less restrictive value.",Medium,0,-
"9.4.5",ALLOYDB_LOG_MIN_ERROR_STATEMENT_SEVERITY,Compliant,"The log_min_error_statement database flag for an AlloyDB instance should be set to error or lower.",Medium,0,-
"9.4.5",SQL_LOG_ERROR_VERBOSITY,Compliant,"The log_error_verbosity database flag for a Cloud SQL Postgres instance should be set to default or verbose.",Medium,0,33
"9.4.5",SQL_LOG_MIN_DURATION_STATEMENT_ENABLED,Compliant,"The log_min_duration_statement database flag for a Cloud SQL Postgres instance should be set to -1.",Medium,0,33
"9.4.5",SQL_LOG_MIN_ERROR_STATEMENT_SEVERITY,Compliant,"The log_min_error_statement database flag for a Cloud SQL Postgres instance should be set to Error or another value that is less strict.",Medium,0,33
"9.4.5",ALLOYDB_LOG_MIN_MESSAGES,Compliant,"The log_min_messages database flag for an AlloyDB instance should be set to at minimum warning.",Low,0,-
"9.4.5",SQL_LOG_MIN_MESSAGES,Compliant,"The log_min_messages database flag for a Cloud SQL Postgres instance should be set to warning.",Low,0,33
"9.5.1",CLOUD_ASSET_API_DISABLED,Compliant,"Cloud Asset API should be enabled for projects.",Low,0,-
"9.5.1.1",CLOUD_ASSET_API_DISABLED,Compliant,"Cloud Asset API should be enabled for projects.",Low,0,-
"10.2.1",SQL_LOG_DISCONNECTIONS_DISABLED,Non-compliant,"The log_disconnections database flag for a Cloud SQL Postgres instance should be set to on.",Medium,33,33
"10.2.1",SQL_LOG_CONNECTIONS_DISABLED,Non-compliant,"The log_connections database flag for a Cloud SQL Postgres instance should be set to on.",Medium,31,33
"10.2.1",LOAD_BALANCER_LOGGING_DISABLED,Non-compliant,"Enable logging for the load balancer backend service.",Medium,1,43
"10.2.1",SQL_LOG_STATEMENT,Non-compliant,"The log_statement database flag for a Cloud SQL Postgres instance should be set to ddl.",Low,33,33
"10.2.1",AUDIT_CONFIG_NOT_MONITORED,Non-compliant,"Metric filter and alerts should exist for Audit Configuration Changes",Low,1,1
"10.2.1",BUCKET_IAM_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Cloud Storage IAM permission changes",Low,1,1
"10.2.1",CUSTOM_ROLE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Custom Role changes",Low,1,1
"10.2.1",FIREWALL_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC Network Firewall rule changes",Low,1,1
"10.2.1",NETWORK_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network changes",Low,1,1
"10.2.1",OWNER_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for Project Ownership assignments/changes",Low,1,1
"10.2.1",ROUTE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for VPC network route changes",Low,1,1
"10.2.1",SQL_INSTANCE_NOT_MONITORED,Non-compliant,"Log metric filter and alerts should exist for SQL instance configuration changes",Low,1,1
"10.2.1",ALLOYDB_LOG_ERROR_VERBOSITY,Compliant,"The log_error_verbosity database flag for an AlloyDB instance should be set to default or another less restrictive value.",Medium,0,-
"10.2.1",ALLOYDB_LOG_MIN_ERROR_STATEMENT_SEVERITY,Compliant,"The log_min_error_statement database flag for an AlloyDB instance should be set to error or lower.",Medium,0,-
"10.2.1",SQL_LOG_ERROR_VERBOSITY,Compliant,"The log_error_verbosity database flag for a Cloud SQL Postgres instance should be set to default or verbose.",Medium,0,33
"10.2.1",SQL_LOG_MIN_DURATION_STATEMENT_ENABLED,Compliant,"The log_min_duration_statement database flag for a Cloud SQL Postgres instance should be set to -1.",Medium,0,33
"10.2.1",SQL_LOG_MIN_ERROR_STATEMENT_SEVERITY,Compliant,"The log_min_error_statement database flag for a Cloud SQL Postgres instance should be set to Error or another value that is less strict.",Medium,0,33
"10.2.1",ALLOYDB_LOG_MIN_MESSAGES,Compliant,"The log_min_messages database flag for an AlloyDB instance should be set to at minimum warning.",Low,0,-
